Country,Code,year_00,year_01,year_02,year_03,year_04,year_05,year_06,year_07,year_08,year_09,year_10,year_11,year_12,year_13,year_14,year_15,year_16,year_17,year_18,year_19,year_20,year_21
Sweden,SE,NA,NA,17.9690877,14.18303056,23.71800856,22.04981829,15.74710656,17.50483258,15.9217075,18.93457653,20.67916727,34.84904751,32.907138,39.43722322,45.22248635,44.54840817,43.32284566,48.2285994,46.99603702,51.33549166,41.97479322,40.3
Australia,AU,NA,NA,12.27157209,NA,NA,NA,NA,NA,12.91288088,20.30484193,18.21736165,26.28751681,32.433654,39.32088923,39.39837826,34.5985099,38.73308682,41.41727101,40.77281751,44.06208524,41.45401415,53.5
Turkey,TR,NA,NA,19.72216943,22.49228079,16.74212369,23.53784284,30.18195424,32.70976015,37.86106822,35.00405266,35.57309132,38.58718064,68.181696,60.72634372,87.93261234,73.04129868,66.15969453,57.78643118,NA,NA,NA,NA
Norway,NO,NA,NA,NA,7.449672617,31.53099961,NA,41.4673806,33.47639516,28.95995615,15.07291947,24.12569515,68.37166069,88.896621,101.5595748,93.18572945,78.12931484,58.77130225,56.13852915,91.09505806,94.97593015,91.13633764,97.6
Poland,PL,NA,NA,NA,15.32913404,15.06791132,18.53266936,18.24039843,16.48265258,NA,28.52643437,31.38802175,34.36670775,37.286865,35.94720347,31.6329008,34.1462418,38.06141479,43.94405413,42.48956772,40.89973463,52.59868629,42.2
South Korea,KR,NA,NA,NA,NA,76.73473357,93.33972161,87.52766729,50.08682023,39.24011375,50.20154172,44.55868186,57.03667638,56.344596,62.82035557,77.99736913,84.34800126,104.3330547,105.7953103,123.1768276,128.4968467,136.3399611,131.2
Egypt,EG,NA,NA,NA,NA,NA,NA,NA,13.28834006,21.5632574,23.54365108,32.00347316,NA,NA,NA,NA,NA,NA,NA,23.17612785,22.13645431,17.18570938,NA
Russia,RU,NA,NA,NA,NA,NA,NA,NA,41.78160769,145.9280907,176.6396679,185.8663249,180.2744845,191.169165,161.2389126,98.21045015,104.1347308,96.38493569,112.6066387,14.16318924,NA,NA,NA
Philippines,PH,NA,NA,NA,NA,NA,NA,NA,NA,14.66802974,14.57464114,24.74114656,39.43127521,43.560528,46.76626471,46.36446833,48.6188211,43.09895498,39.98908926,25.32206561,36.68326714,45.09946765,48.6
Colombia,CO,NA,NA,NA,NA,NA,NA,NA,NA,14.04119086,21.55053776,24.86423684,28.33746078,35.748042,38.3902173,39.62677465,41.6086655,31.56858521,32.73832032,29.72123802,33.09926977,32.28830248,33.1
Chile,CL,NA,NA,NA,NA,NA,NA,NA,NA,19.05590188,15.44662822,17.10954911,27.73453608,39.06243,30.36317186,29.12054045,30.86729805,32.68803859,31.74957911,30.79420691,32.46679965,28.43453734,35.8
Spain,ES,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.06603279,NA,28.94038548,32.433654,26.75681811,31.6329008,40.93026335,42.87506431,36.80314533,37.2320202,53.12749034,36.7670025,NA
Malaysia,MY,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.57464114,14.15538236,24.84049753,22.845603,13.72741103,NA,NA,14.77678457,17.02832097,13.30481413,15.07387127,13.43610006,NA
